title,url,description,duration,thumbnail
I made a Discord Bot that says Choo Choo,https://www.youtube.com/watch?v=AvQcTjB3gPg,"Learn to create a Discord bot using Discord.js in Node.js. This video walks through setting up a node project, creating a Discord application, and writing code for authentication, slash commands,...",1995,https://i.ytimg.com/vi/AvQcTjB3gPg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBnxbml4j7AQBEqRNN6L6EQmAIxww
How to Set Up a Node.js Project,https://www.youtube.com/watch?v=wM3TEvQn2hw,"Learn how to set up a Node.js project, run JavaScript code outside the browser, and use npm for package management! Code: https://thecodingtrain.com/tracks/discord-bots/discord/setup-node-project...",1484,https://i.ytimg.com/vi/wM3TEvQn2hw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlUlQV639_YZtdLGeNMHtee5rlzA
"Workflow: Terminal, Shell, Node.js, VSCode",https://www.youtube.com/watch?v=46WOuOrMwTQ,"This video covers tools and configurations to set up a JavaScript development environment with Node.js, Visual Studio Code, and shell/terminal access. This is step 1 along the way to creating...",1410,https://i.ytimg.com/vi/46WOuOrMwTQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFMNNPOUsYOdAZenNRlA3s8LAZAA
Creative Coding for Beginners - Full Course!,https://www.youtube.com/watch?v=4JzDttgdILQ,Choo choo! Welcome aboard to the world of creative coding! Join me in this beginner-friendly video series learning to code with Processing! https://thecodingtrain.com/tracks/learning-processing/pro...,18377,https://i.ytimg.com/vi/4JzDttgdILQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDI2aSvso49mtVx454gDSlBI7bBbQ
All aboard the new Coding Train website!,https://www.youtube.com/watch?v=5O2Yw_ldRjA,"The Coding Train has a new website! https://thecodingtrain.com
Design Systems International: https://designsystems.international
Coding Train Case Study: https://designsystems.international/work/th...",343,https://i.ytimg.com/vi/5O2Yw_ldRjA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmzJaJhFXczcnFb0AHGstFuRyRSQ
Coding Challenge 178: Climate Spiral,https://www.youtube.com/watch?v=rVBTxnRyOuE,"Learn to create your own climate spiral using p5.js and temperature data. Originally designed by the climate scientist Ed Hawkins, the climate spiral is a visual representation of the changing...",2467,https://i.ytimg.com/vi/rVBTxnRyOuE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDIYs7Fl_UPo3k1gAS_segX3Fjdrw
Coding Challenge 177: Soft Body Physics,https://www.youtube.com/watch?v=IxdGyqhppis,Embark on a squishy adventure as I attempt to create a soft body physics simulation for a character with toxiclibs.js and p5.js! Code: https://thecodingtrain.com/challenges/177-soft-body-character...,1749,https://i.ytimg.com/vi/IxdGyqhppis/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD98J44256OLUCTEKNzDyXLeaXmBw
Coding Challenge 176: Buffon's Needle,https://www.youtube.com/watch?v=h5ZNcAPXxew,"How do toothpicks approximate the value of pi? I'll show you by coding a simulation in p5.js! Code: https://thecodingtrain.com/challenges/176-buffon-needle

🚀 Watch this video ad-free on...",1504,https://i.ytimg.com/vi/h5ZNcAPXxew/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDoCtXdHQJewxooa535YZ-AbKvXQ
Coding Challenge: 3D on Apple II,https://www.youtube.com/watch?v=PHfKCxjsmos,Take a trip back in time and watch me attempt to build a 3D graphics engine in AppleSoft BASIC on a restored Apple II+ computer! Can I render a spinning cube? Code: https://thecodingtrain.com/chall...,2740,https://i.ytimg.com/vi/PHfKCxjsmos/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAGF-z3yAkqdgCfB8wdM8rFDXLOQg
Apple ][ Coding Challenge: Fractal Tree,https://www.youtube.com/watch?v=UNkHditYGls,Take a trip back in time and let's learn all about GR (graphics) and HGR (high resolution graphics) in AppleSoft BASIC on a restored Apple II+ computer! Can we render a fractal tree? Code:...,2135,https://i.ytimg.com/vi/UNkHditYGls/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbS3Bdq7mi2u_mLTaenRP8hgYsVA
What was Coding like 40 years ago?,https://www.youtube.com/watch?v=7r83N3c2kPw,"🧠 Sign up for Nebula! — https://go.nebula.tv/codingtrain

Take a trip back in time and let's code the Snake Game in AppleSoft BASIC on a restored Apple II+ computer! GOTO and GOSUB! Line...",1745,https://i.ytimg.com/vi/7r83N3c2kPw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7ATgc7pQuDoKXLK06oXmd3C3H7A
Coding Challenge 172: Horizontal Directional Drilling,https://www.youtube.com/watch?v=FfCBNL6lWK0,This project is a collaboration with Grady Hillhouse at the Practical Engineering YouTube channel (his video! https://youtu.be/JAhdb7dKQpU). This is my attempt to code a simulation of Horizontal...,702,https://i.ytimg.com/vi/FfCBNL6lWK0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBuLL0LOtArUCA--Rvp4MyDomRCUg
Coding Challenge 171: Wave Function Collapse,https://www.youtube.com/watch?v=rI_y2GAlQFM,"Straight out of quantum mechanics, Wave Function Collapse is an algorithm for procedural generation of images. In this video (recorded over 3 live streams) I attempt the tiled model and explore...",4717,https://i.ytimg.com/vi/rI_y2GAlQFM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC95EuN81Q_3AvubqWYtTcbj_ctqg
Coding Challenge 170: The Monty Hall Problem,https://www.youtube.com/watch?v=0zac-cDzJwA,"It's the Monty Hall Problem! In JavaScript! With p5.js! Yes, you really double your chances of winning by switching doors. I hope to convince you of this in this video! https://editor.p5js.org/codi...",1936,https://i.ytimg.com/vi/0zac-cDzJwA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD1QmjQvluOccPWpAxlT17C6s-rAw
Local Storage in JavaScript with p5.js,https://www.youtube.com/watch?v=_SRS8b4LcZ8,"What's the easiest and quickest way to have a p5 sketch re-start from where it last left off? Local Storage!

p5.js Web Editor Sketches:
🕹️ Local Storage: https://editor.p5js.org/codingtrain/s...",724,https://i.ytimg.com/vi/_SRS8b4LcZ8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmSZQxcM42Pq2qFxAIyBpG4aqQ_A
The Anal Retentive Coder,https://www.youtube.com/watch?v=xZ7XEptRtpM,The following program is brought to you by a grant from the Chugg Group.,287,https://i.ytimg.com/vi/xZ7XEptRtpM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7J5CHk2-92wMem5KAQnByemojBg
2.6 Mutual Attraction - The Nature of Code,https://www.youtube.com/watch?v=GjbKsOkN1Oc,"Finishing off Chapter 2 on forces, let's look at an ""N-Body Simulation"" where all movers experience gravitational attraction with all other movers! https://thecodingtrain.com/tracks/the-nature-of-c...",1356,https://i.ytimg.com/vi/GjbKsOkN1Oc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxuSQUY2DxXoMi0rRywQMUrWutlQ
Coding Challenge 169: Pi in the Sky Game,https://www.youtube.com/watch?v=_H9JIwWP7HQ,"Happy Pi Day! How many delicious digits of Pi can you catch from the sky? In JavaScript! https://thecodingtrain.com/challenges/169-pi-in-the-sky

p5.js Web Editor Sketches:
🕹️ Pi in the...",1901,https://i.ytimg.com/vi/_H9JIwWP7HQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDBxLf_bzPhO1R1Wu062-Lajnq2g
Coding Challenge 168: MandelBulb 3D Fractal,https://www.youtube.com/watch?v=NJCiUVGiNyA,It's the Mandelbulb! What happens when you take the original fractal (The Mandelbrot Set) and extend it into 3D space? And how do you visualize it in Processing (Java) as a point cloud? https://the...,1682,https://i.ytimg.com/vi/NJCiUVGiNyA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4LvN67kJGEQUmw7JM0dGqSJfWSA
Beginner's Guide to Machine Learning in JavaScript with ml5.js,https://www.youtube.com/watch?v=26uABexmOX4,This playlist provides an introduction to developing creative coding projects with machine learning. The theory and application of machine learning algorithms is demonstrated in JavaScript...,91,https://i.ytimg.com/vi/26uABexmOX4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXOkbjmziEJaaP8hgYqyw0AM8F2g
Coding Challenge 167: Ulam Spiral of Prime Numbers,https://www.youtube.com/watch?v=a35KWEjRvc0,"💻 Code: https://thecodingtrain.com/challenges/167-prime-spiral 
✨ Watch the uncut version on Nebula! https://nebula.tv/videos/codingtrain-the-prime-spiral-uncut-version-coding-challenge-167...",1453,https://i.ytimg.com/vi/a35KWEjRvc0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbyBg6zh09OR-OkhWBm03lhQ--MA
Coding Challenge 166: ASCII Text Images,https://www.youtube.com/watch?v=55iwMYv8tGI,"Let's make ASCII art in p5.js together! In this video, I demonstrate a variety of techniques for translating the pixels of an image into text and finish with rendering video as text ASCII character...",1362,https://i.ytimg.com/vi/55iwMYv8tGI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDlMxUVOwc47T1CJF3wo3_w9Sof5g
Coding Challenge 165: Slide Puzzle,https://www.youtube.com/watch?v=uQZLzhrzEs4,Let's code a slide puzzle in p5.js together! Sign up for the CuriosityStream + Nebula bundle with a 26% exclusive discount ($14.79 for a full year!) at https://curiositystream.com/codingtrain...,1613,https://i.ytimg.com/vi/uQZLzhrzEs4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrjLGy4MRw1W3E0MfnZgMwVyaxQg
Coding Challenge 164: Bending Time Slitscan,https://www.youtube.com/watch?v=hckvHFDGiJk,"In this video I explore the wonders of the copy() function in the creative coding platform Processing, simulating slitscan photography and bending time itself! This video is thanks to Tim Rodenbrö...",1707,https://i.ytimg.com/vi/hckvHFDGiJk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSj20fCqc7Drjkp6kpS_1YUSTlQw
5.7 Path Following (Steering) - Nature of Code,https://www.youtube.com/watch?v=rlZYT-uvmGQ,"Continuing the quest to implement all of Craig Reynolds’ steering behaviors in JavaScript with p5.js, in this video I tackle path following! Code: https://thecodingtrain.com/tracks/the-nature-of-...",941,https://i.ytimg.com/vi/rlZYT-uvmGQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBmPfEQmlnhTEn45WFsvV4_WA5VfA
5.6 Vector Dot Product (Scalar Projection) - The Nature of Code,https://www.youtube.com/watch?v=DHPfoqiE4yQ,"This video covers the dot product and scalar projection with p5.js and vectors, concepts that I’ll need for finding the distance between a point and a line which will lead to the path following...",821,https://i.ytimg.com/vi/DHPfoqiE4yQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUL88CX1p6x1AAr29LXsqAZyjyuA
5.5 Wander Steering Behavior - The Nature of Code,https://www.youtube.com/watch?v=ujsR2vcJlLk,"Craig Reynolds’ “Wander” steering behavior is one of my favorites! In this video, I implement my take on it in JavaScript with p5.js and encourage you to invent your own version! Code:...",946,https://i.ytimg.com/vi/ujsR2vcJlLk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2QhyPOROUy8tf8LRaRVoZKTNAnw
Bézier curves (Coding Challenge 163),https://www.youtube.com/watch?v=enNfb6p3j_g,"Have you ever wanted to know more about bézier curves in p5.js? Thanks to a generous donation from Jason Oswald, I do a deep dive exploring the bézier curve function and the math behind the...",1379,https://i.ytimg.com/vi/enNfb6p3j_g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBwwyhunOdCFUAMy5lbLVSNI7YiMQ
5.4 Arrive Steering Behavior - The Nature of Code,https://www.youtube.com/watch?v=OxHJ-o_bbzs,It’s finally time for me to tackle a JavaScript (p5.js) implementation of the “arrival” steering behavior from Craig Reynolds’ 1999 paper Steering Behaviors For Autonomous Characters!...,527,https://i.ytimg.com/vi/OxHJ-o_bbzs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSv1zY-n_L5d7zBdz3kKkXW7d_zg
"5.3 Flee, Pursue, Evade - The Nature of Code",https://www.youtube.com/watch?v=Q4MU7pkDYmQ,"Continuing my quest to explore all the steering behaviors from Craig Reynolds’ 1999 paper, in this video I tackle flee, pursue, and evade (all in JavaScript with p5.js). Code: https://thecodingtr...",805,https://i.ytimg.com/vi/Q4MU7pkDYmQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBeYOtYCMsq2Up162hphkH8YM5FtQ
5.2 Seeking a Target - The Nature of Code,https://www.youtube.com/watch?v=p1Ws1ZhG36g,This video explores Craig Reynolds’ formula for Steering Behaviors in JavaScript (p5.js) beginning with “Seeking a Target.” Code: https://thecodingtrain.com/tracks/the-nature-of-code-2/noc/5-...,788,https://i.ytimg.com/vi/p1Ws1ZhG36g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvEvt8RbS9mdq-WK_vlApZOMCqZA
Coding Challenge 162: Self-Avoiding Walk,https://www.youtube.com/watch?v=m6-cm6GZ1iw,"It's finally time to attempt a Self-Avoiding Walk! In this video, I quickly visualize a simple JavaScript p5.js implementation of a self-avoiding walk. I then tackle the more complex problem...",2307,https://i.ytimg.com/vi/m6-cm6GZ1iw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA4EFwmtNYYhTKBg7P_Ho40iqL2og
5.1 Autonomous Steering Agents Introduction - The Nature of Code,https://www.youtube.com/watch?v=P_xJMH8VvAE,"Welcome to Chapter 5! In this video, I discuss the concept of an autonomous agent and provide an overview of the JavaScript / p5.js coding examples to come. Code: https://thecodingtrain.com/tracks/...",619,https://i.ytimg.com/vi/P_xJMH8VvAE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBiFzrgsEdpDhT9L5cqsMhHDQ3MYQ
2.4: random() Function - p5.js Tutorial,https://www.youtube.com/watch?v=POn4cZ0jL-o,"In this video, I explore the random() function in p5.js and discuss the concept of 'parametric design.' Code: https://thecodingtrain.com/tracks/code-programming-with-p5-js/code/2-variables/4-random...",644,https://i.ytimg.com/vi/POn4cZ0jL-o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBybnVBkwbz0L_S_5BqTlwdIgAaMg
2.3: Incrementation Operators - p5.js Tutorial,https://www.youtube.com/watch?v=T26OJGjI8qI,"In this bonus aside, I discuss coding short hand for incrementing variables ('incrementation operators'). Code: https://thecodingtrain.com/tracks/code-programming-with-p5-js/code/2-variables/3-incr...",253,https://i.ytimg.com/vi/T26OJGjI8qI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTbwG_GtyioQHblJJWWGHlROlrUA
2.2: Variables in p5.js (Define Your Own) - p5.js Tutorial,https://www.youtube.com/watch?v=dRhXIIFp-ys,"In this video, I cover how to define, initialize, and use your own variables for the purpose of animating p5.js sketches. Code: https://thecodingtrain.com/tracks/code-programming-with-p5-js/code/2-...",643,https://i.ytimg.com/vi/dRhXIIFp-ys/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwMUZ31kfKq_wAo4g9LsBzosMzmA
"2.1: Variables in p5.js (mouseX, mouseY) - p5.js Tutorial",https://www.youtube.com/watch?v=7A5tKW9HGoM,"In this video, I introduce the concept of variables! The setup() and draw() functions are covered along with mouseX and mouseY in p5.js. Code: https://thecodingtrain.com/tracks/code-programming-wit...",641,https://i.ytimg.com/vi/7A5tKW9HGoM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCJZ1kBLR7NjioU-AnZvJvraqjYdg
Machine Learning and the Computer Mouse (from the 2021 Computer Mouse Conference),https://www.youtube.com/watch?v=h279eYIROIM,"What does the mouse see? I explore this question through a series of experiments with machine learning and the computer mouse. 
💻 Code and 📚 bibliography: https://thecodingtrain.com/mouselear...",1426,https://i.ytimg.com/vi/h279eYIROIM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmt7ErJ6k82BW2W2hA35HXOUie2w
4.4: Particle Systems with Image Textures - The Nature of Code,https://www.youtube.com/watch?v=pUhv2CA0omA,It’s time to expand beyond grayscale particles! In this video I demonstrate how to make a fire or smoke-like effect by using image textures and additive blending with a particle system. Code:...,791,https://i.ytimg.com/vi/pUhv2CA0omA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAYETylYbrpbTyacoO1Gp7qAYzfFw
4.3: Particle Systems with Inheritance - The Nature of Code,https://www.youtube.com/watch?v=44RSr49m6LU,Have you ever wondered how the concepts of inheritance and polymorphism fit into the Nature of Code Particle system examples in p5.js? Code: https://thecodingtrain.com/tracks/the-nature-of-code-2/n...,381,https://i.ytimg.com/vi/44RSr49m6LU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC_MKOSqy06U34PXctYygTBX59USw
Coding Challenge 161: Estimating π from Random Numbers with Euclid's Algorithm,https://www.youtube.com/watch?v=EvS_a921dBo,🥧 Happy Pi Day 2021! This year I estimate the digits of π with random numbers and the probability of two integers being co-prime. https://thecodingtrain.com/challenges/161-estimating-pi-from-ra...,1459,https://i.ytimg.com/vi/EvS_a921dBo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtQiRQZTRWX2h7RTk6f8XMnW8dPQ
4.2: Many Particle Systems (Emitters!) - The Nature of Code,https://www.youtube.com/watch?v=wDYD3JVtOys,"In this video, I add an Emitter class to further organize the array of particles and allow for multiple particle systems in a p5.js sketch. Code: https://thecodingtrain.com/tracks/the-nature-of-cod...",495,https://i.ytimg.com/vi/wDYD3JVtOys/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXg_6o-gtj1D0QgIknXy8IgnqxCw
4.1: Particle System Simulation - The Nature of Code,https://www.youtube.com/watch?v=syR0klfncCk,"Welcome to Chapter 4 of The Nature of Code: Particle Systems! I begin by coding a simple particle system in p5.js. I convert the Mover class into a Particle class, add a lifetime property,...",586,https://i.ytimg.com/vi/syR0klfncCk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7LEaHWI50PM17nNvsY5pQ8U7Rmw
Guest Conductor: Twirling Tech Goddess,https://www.youtube.com/watch?v=4EOUgfZ-JUE,"🎥Watch 3D Printing a Motorized High Fashion Hat: https://youtu.be/9pQmwvn147I
💫Twirling Tech Goddess YT: https://www.youtube.com/channel/UC58LFxfWi4b2_AI2z9-Z0RQ
🏳️‍🌈Queer Asterisk:...",791,https://i.ytimg.com/vi/4EOUgfZ-JUE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAY10I_wKJI5e78djlgt9DshD9ARw
Coding Challenge 160: Spring Forces,https://www.youtube.com/watch?v=Rr-5HiXquhw,Boing! Time to simulate a spring force! This challenge fits into chapters 2 and 3 of the Nature of Code and demonstrates how to simulate the oscillating motion of a spring using vectors and...,1963,https://i.ytimg.com/vi/Rr-5HiXquhw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAZELeZjNAU8ONpLg7pharDgLFUeQ
